Sample,Nitrogen_percent,Nitrogen_mg,Carbon_percent,Carbon_mg
1EI1,0.7023,0.0338,45.5596,2.1946
1EF2,0.6374,0.0316,44.7468,2.2163
1EW2,0.9845,0.0457,48.9093,2.2718
1EL4,0.8128,0.0429,49.3831,2.6089
1ET5,0.5587,0.0399,49.2588,3.5146
1EX6,1.2268,0.0617,50.6786,2.5507
1EJ7,0.84,0.0444,51.7747,2.7358
1EU9,0.907,0.0582,52.2521,3.3525
1EG10,1.2178,0.0191,48.6321,0.7611
2EW1,0.7233,0.0415,42.1659,2.4207
2EF2,1.114,0.0282,45.287,1.1467
2EI3,0.1203,0.0029,40.0092,0.9626
2EL4,0.4731,0.0273,40.9897,2.3643
2ET5,0.7398,0.0331,46.5053,2.0788
2ES7,1.332,0.0291,30.3287,0.6618
2EU8,0.449,0.0182,40.7342,1.6518
2EJ9,0.4033,0.02,36.726,1.8242
8UW1,1.3376,0.0294,44.5232,0.9795
8UJ2,0.0106,0.0006,47.1559,2.4691
8UF3,2.1207,0.0197,39.6306,0.3678
8UL4,0.0874,0.0043,47.1168,2.3299
8UT5,0.7216,0.0266,45.7895,1.6905
8UG6,0.0201,0.001,47.0092,2.452
8UU7,1.2712,0.028,46.3092,1.0193
8US8,0.5839,0.0265,40.7718,1.8523
8UI9,1.3922,0.0217,41.1449,0.6427
8UX10,0.1374,0.0055,44.9172,1.8057
7EW1,2.1798,0.0184,36.7896,0.3109
7EF2,0.0145,0.0006,45.0856,1.7475
7EU3,0.1884,0.0075,44.6442,1.7831
7EL4,0.1657,0.0051,41.6215,1.279
7EJ5,1.4753,0.022,42.3815,0.6328
7ET7,0.1059,0.006,47.5228,2.7007
7EX8,0.3357,0.0152,43.7503,1.9745
7EI9,1.1935,0.0304,45.729,1.1652
9UJ1,1.0754,0.0209,45.3022,0.8789
9UW2,0.0447,0.0014,45.2145,1.4328
9UF3,0.7025,0.0267,47.0332,1.7896
9UL4,1.1464,0.0212,45.8844,0.8479
9UG5,1.1204,0.0314,41.3518,1.1599
9UT6,0.6393,0.0274,46.6472,2.0016
9US7,1.277,0.0322,41.8644,1.0546
9UX8,0.0256,0.0008,44.6645,1.3757
9UI9,0.1175,0.0046,46.4347,1.7989
9UU10,1.2228,0.0299,47.1979,1.1549
1UM1,0.3266,0.0174,46.065,2.4534
1UF2,0.616,0.0318,45.4772,2.3503
1UI3,0.3545,0.0176,44.8121,2.2186
1UI4,0.498,0.0247,46.2729,2.2924
1UT5,0.7521,0.0347,44.2964,2.0447
1UX6,0.2814,0.0156,46.9388,2.6089
1US7,0.1233,0.0065,46.7537,2.4602
1UU8,0.074,0.0041,46.3264,2.5739
1UJ9,1.2061,0.0259,43.4669,0.9341
3E,1.0479,0.0105,49.7981,0.498
3EW1,1.4645,0.0231,48.4749,0.764
3EF2,1.3608,0.0686,42.344,2.1358
3EI4,1.6271,0.0429,45.675,1.2035
3EU5,1.4316,0.0495,46.6452,1.6139
3EX6,1.0425,0.0193,40.5635,0.75
3EJ8,1.0489,0.0311,45.731,1.3573
3EG10,1.2917,0.0184,47.3643,0.6735
3UW1,0.8706,0.0281,32.4792,1.0471
3UF2,1.8332,0.0821,45.81,2.0505
3UL3,1.1726,0.0579,46.8667,2.3129
3UL4,1.0223,0.0227,61.9021,1.3773
3UU6,1.116,0.0649,44.3616,2.5801
3UX7,1.1257,0.0422,46.1484,1.7292
3UT9,1.124,0.0473,46.897,1.972
